time,lasttime,lat,lng,speed,course,altitude,comment,,,Air P,,,,Air P,Launch_Lat,Launch_lng,LOS_Distance,Elevation
21:57,28/3/2026 22:03,1.35217,103.81983,0,0,0.91,000009TxD,V:12.51,I:0.573,C:X,FPV@1.28GHz,,,1007,1.35217,103.81983,0,#DIV/0!
22:04,28/3/2026 22:04,1.29767,103.76017,2,113,88.09,000011TxD,V:12.50,I:0.577,C:X,FPV@1.28GHz,,,1008,1.35217,103.81983,8.983877373,89.43821323
22:05,28/3/2026 22:05,1.29783,103.76017,2,113,101.19,000012TxC,T:+34.9,E:+00.0,P:1007,FPV@1.28GHz,,,1008,1.35217,103.81983,8.971885686,89.3538132
22:05,28/3/2026 22:05,1.297,103.76183,6,113,15.24,000013TxD,V:12.50,I:0.566,C:X,FPV@1.28GHz,,,1008,1.35217,103.81983,8.899715062,89.90188598
22:06,28/3/2026 22:07,1.29717,103.76167,0,214,13.11,000015TxD,V:12.49,I:0.552,C:X,FPV@1.28GHz,,,1009,1.35217,103.81983,8.899608458,89.91559773
22:07,28/3/2026 22:08,1.29717,103.7615,0,228,14.94,000017TxD,V:12.48,I:0.559,C:X,FPV@1.28GHz,,,1004,1.35217,103.81983,8.913346959,89.90396445
22:09,28/3/2026 22:09,1.29717,103.76167,0,75,0,000019TxD,V:12.48,I:0.586,C:X,FPV@1.28GHz,,,979,1.35217,103.81983,8.899608458,90
22:10,28/3/2026 22:10,1.29717,103.7615,0,76,0,000020TxC,T:+37.8,E:,#NAME?,P:1008,FPV@1.28GHz,,962,1.35217,103.81983,8.913346959,90
22:10,28/3/2026 22:12,1.29717,103.76167,0,100,0.91,000023TxD,V:12.46,I:0.569,C:X,FPV@1.28GHz,,,948,1.35217,103.81983,8.899608458,89.99414141
22:12,28/3/2026 22:12,1.297,103.76167,0,113,0,000024TxC,T:+39.0,E:+00.0,P:1008,FPV@1.28GHz,,,934,1.35217,103.81983,8.912609243,90
22:13,28/3/2026 22:14,1.29717,103.76167,0,143,10.36,000026TxC,T:+39.6,E:+00.0,P:1008,FPV@1.28GHz,,,919,1.35217,103.81983,8.899608458,89.93330223
22:14,28/3/2026 22:14,1.297,103.76167,0,137,6.4,000027TxD,V:12.45,I:0.561,C:X,FPV@1.28GHz,,,890,1.35217,103.81983,8.912609243,89.95885684
22:15,28/3/2026 22:15,1.29717,103.76167,0,178,0,000029TxD,V:12.44,I:0.562,C:X,FPV@1.28GHz,,,875,1.35217,103.81983,8.899608458,90
22:16,28/3/2026 22:17,1.297,103.76167,0,175,0.61,000032TxC,T:+41.2,E:+00.0,P:1008,FPV@1.28GHz,,,860,1.35217,103.81983,8.912609243,89.99607854
22:18,28/3/2026 22:18,1.29717,103.76167,0,247,0,000033TxD,V:12.43,I:0.589,C:X,FPV@1.28GHz,,,845,1.35217,103.81983,8.899608458,90
22:19,28/3/2026 22:19,1.297,103.76167,0,275,2.13,000035TxD,V:12.42,I:0.577,C:X,FPV@1.28GHz,,,832,1.35217,103.81983,8.912609243,89.98630704
22:20,28/3/2026 22:47,1.29717,103.76167,0,171,14.63,000080TxC,T:+47.0,E:+00.0,P:1009,FPV@1.28GHz,,,819,1.35217,103.81983,8.899608458,89.90581198
22:49,28/3/2026 22:50,1.29733,103.7615,0,59,12.5,000085TxD,V:12.26,I:0.552,C:X,FPV@1.28GHz,,,807,1.35217,103.81983,8.901149137,89.91953884
22:51,28/3/2026 22:51,1.29717,103.7615,9,198,55.17,000086TxC,T:+47.4,E:+00.0,P:1004,FPV@1.28GHz,,,794,1.35217,103.81983,8.913346959,89.64536691
22:51,28/3/2026 22:51,1.296,103.76117,17,201,184.4,000087TxD,V:12.25,I:0.558,C:X,FPV@1.28GHz,,,781,1.35217,103.81983,9.029566795,88.83007972
22:52,28/3/2026 22:52,1.295,103.7605,11,222,276.76,000088TxC,T:+47.4,E:+00.0,P:0979,FPV@1.28GHz,,,768,1.35217,103.81983,9.160315642,88.2694529
